game_id,game_date,start_time_et,home_team,away_team,moneyline_home,moneyline_away,total_line,over_odds,under_odds,home_score,away_score,status,winner,total_result
164169,2025-06-01,2025-06-01 13:05:00,Texas Rangers,St. Louis Cardinals,1.57,2.55,7.5,1.91,1.91,,,,,
164155,2025-06-01,2025-06-01 13:35:00,Philadelphia Phillies,Milwaukee Brewers,1.57,2.55,8.0,1.80,2.00,,,,,
164160,2025-06-01,2025-06-01 13:35:00,Atlanta Braves,Boston Red Sox,2.15,1.74,8.0,1.91,1.91,,,,,
164161,2025-06-01,2025-06-01 13:35:00,Baltimore Orioles,Chicago White Sox,1.59,2.50,9.0,1.91,1.91,,,,,
164156,2025-06-01,2025-06-01 13:37:00,Toronto Blue Jays,Athletics,1.54,2.65,8.0,1.91,1.91,,,,,
164157,2025-06-01,2025-06-01 13:40:00,Miami Marlins,San Francisco Giants,2.10,1.77,8.0,2.00,1.80,,,,,
164162,2025-06-01,2025-06-01 13:40:00,Cleveland Guardians,Los Angeles Angels,1.59,2.50,8.0,1.80,2.00,,,,,
164166,2025-06-01,2025-06-01 13:40:00,New York Mets,Colorado Rockies,1.25,4.20,8.0,1.91,1.91,,,,,
164163,2025-06-01,2025-06-01 14:10:00,Houston Astros,Tampa Bay Rays,1.50,2.75,7.5,1.91,1.91,,,,,
164164,2025-06-01,2025-06-01 14:10:00,Kansas City Royals,Detroit Tigers,1.69,2.25,8.5,1.91,1.91,,,,,
164158,2025-06-01,2025-06-01 14:20:00,Chicago Cubs,Cincinnati Reds,1.62,2.40,7.5,1.91,1.91,,,,,
164159,2025-06-01,2025-06-01 16:10:00,Arizona Diamondbacks,Washington Nationals,1.41,3.05,9.0,1.91,1.91,,,,,
164168,2025-06-01,2025-06-01 16:10:00,Seattle Mariners,Minnesota Twins,1.74,2.15,7.5,1.91,1.91,,,,,
164167,2025-06-01,2025-06-01 17:10:00,San Diego Padres,Pittsburgh Pirates,1.69,2.25,8.5,1.91,1.91,,,,,
164165,2025-06-01,2025-06-01 19:10:00,Los Angeles Dodgers,New York Yankees,1.59,2.50,8.5,1.80,2.00,,,,,
