game_id,game_date,start_time_et,home_team,away_team,moneyline_home,moneyline_away,total_line,over_odds,under_odds,home_score,away_score,status,winner,total_result,home_1,away_1,home_2,away_2,home_3,away_3,home_4,away_4,home_5,away_5,home_6,away_6,home_7,away_7,home_8,away_8,home_9,away_9
165161,2025-08-19,2025-08-19 14:20:00,Chicago Cubs,Milwaukee Brewers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165163,2025-08-19,2025-08-19 18:40:00,Pittsburgh Pirates,Toronto Blue Jays,2.20,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,
165172,2025-08-19,2025-08-19 18:40:00,Detroit Tigers,Houston Astros,1.57,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,
165174,2025-08-19,2025-08-19 18:40:00,Miami Marlins,St. Louis Cardinals,1.67,2.20,,,,,,,,,,,,,,,,,,,,,,,,,,
165164,2025-08-19,2025-08-19 18:45:00,Washington Nationals,New York Mets,2.60,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,
165173,2025-08-19,2025-08-19 18:45:00,Philadelphia Phillies,Seattle Mariners,1.53,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,
165170,2025-08-19,2025-08-19 19:10:00,Boston Red Sox,Baltimore Orioles,1.67,2.20,,,,,,,,,,,,,,,,,,,,,,,,,,
165171,2025-08-19,2025-08-19 19:15:00,Atlanta Braves,Chicago White Sox,1.57,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,
165165,2025-08-19,2025-08-19 19:35:00,Tampa Bay Rays,New York Yankees,2.20,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,
165168,2025-08-19,2025-08-19 19:40:00,Kansas City Royals,Texas Rangers,1.91,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,
165175,2025-08-19,2025-08-19 19:40:00,Minnesota Twins,Athletics,1.67,2.20,,,,,,,,,,,,,,,,,,,,,,,,,,
165176,2025-08-19,2025-08-19 20:05:00,Chicago Cubs,Milwaukee Brewers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165169,2025-08-19,2025-08-19 20:40:00,Colorado Rockies,Los Angeles Dodgers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165177,2025-08-19,2025-08-19 21:38:00,Los Angeles Angels,Cincinnati Reds,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165166,2025-08-19,2025-08-19 21:40:00,San Diego Padres,San Francisco Giants,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165167,2025-08-19,2025-08-19 21:40:00,Arizona Diamondbacks,Cleveland Guardians,,,,,,,,,,,,,,,,,,,,,,,,,,,,
